machine_id,n_points,duration_s,duration_days,avg_interval_s,cpu_mean,cpu_std,cpu_cv,cpu_p5,cpu_p25,cpu_p50,cpu_p75,cpu_p95,cpu_p99,mem_mean,mem_std,net_in_mean,net_out_mean,disk_mean,mkpi_mean,pct_idle,pct_low,pct_mid,pct_high,burstiness,spike_count,trend_per_hour,max_gap_hours,n_long_gaps,profile
m_1932,61570,687780,7.96,92,40.56,13.89,0.342,23,30,38,48,65,90,90.73,4.16,42.66,32.84,6.41,0.4,0.0,22.0,74.6,3.4,1.71,7,0.0353,5.5,54,stable_mid
m_1933,64049,691190,8.0,90,5.69,1.11,0.194,4,5,6,6,8,9,92.5,0.63,23.41,18.97,1.07,0.11,14.0,86.0,0.0,0.0,1.33,0,0.0047,26.1,28,stable_low
m_1934,62209,688640,7.97,100,42.54,13.09,0.308,24,33,41,51,66,80,89.94,6.52,40.63,30.63,8.16,0.57,0.0,15.9,81.0,3.1,1.61,117,0.0098,5.7,62,stable_mid
m_1935,62834,691190,8.0,99,38.67,13.28,0.343,21,29,37,46,62,82,91.17,4.0,48.48,36.13,6.35,0.62,0.0,27.0,70.1,2.8,1.68,269,0.0207,6.4,36,stable_mid
m_1936,61267,688790,7.97,101,39.98,13.15,0.329,22,30,38,48,63,80,90.85,4.44,45.3,36.19,8.06,0.54,0.0,23.4,74.1,2.5,1.66,50,0.0137,5.5,64,stable_mid
m_1937,62030,691190,8.0,100,38.27,15.33,0.4,20,27,35,45,68,89,90.91,3.42,42.69,31.05,10.21,0.45,0.0,32.2,63.0,4.8,1.94,3,0.0633,7.4,55,stable_mid
m_1938,61903,687910,7.96,100,32.35,13.48,0.417,15,22,30,40,57,75,87.3,6.0,45.13,31.08,9.38,0.52,0.0,48.9,49.4,1.6,1.9,35,-0.0418,5.5,30,stable_mid
m_1939,59290,691190,8.0,105,39.59,13.67,0.345,22,30,37,46,64,89,88.7,5.92,45.82,37.37,8.14,0.68,0.0,24.2,72.4,3.4,1.73,7,0.0489,7.4,81,stable_mid
m_1940,61143,683090,7.91,101,36.6,12.8,0.35,19,27,35,45,60,74,91.72,3.18,49.39,36.84,8.51,0.51,0.0,33.5,65.0,1.5,1.71,2,-0.0051,5.5,45,stable_mid
m_1941,59292,684270,7.92,104,32.62,13.02,0.399,15,23,31,40,56,72,88.59,7.78,34.82,23.47,6.13,0.36,0.0,45.3,53.5,1.2,1.81,16,0.0573,5.7,81,stable_mid
m_1942,61150,691190,8.0,102,44.26,11.7,0.264,28,35,43,52,65,76,91.3,3.32,45.26,37.1,9.11,0.8,0.0,8.6,89.2,2.3,1.51,22,0.0011,5.7,64,stable_mid
m_1943,60383,689120,7.98,103,45.28,12.68,0.28,26,36,45,54,67,76,89.96,5.43,44.14,34.32,8.15,0.51,0.0,10.6,86.6,2.9,1.49,10,0.0909,5.7,61,stable_mid
m_1944,63152,691190,8.0,98,38.1,12.99,0.341,21,29,36,46,62,79,90.74,4.01,37.88,26.7,6.6,0.56,0.0,28.3,69.5,2.2,1.72,104,0.0179,5.7,37,stable_mid
m_1945,63189,684290,7.92,97,44.84,10.93,0.244,29,37,44,52,65,75,91.83,3.05,45.22,38.9,7.67,0.61,0.0,5.4,92.5,2.1,1.48,16,-0.006,5.6,36,stable_mid
m_1946,61228,688510,7.97,101,4.61,0.73,0.159,4,4,5,5,6,6,78.47,0.98,16.7,12.2,1.02,0.41,45.8,54.2,0.0,0.0,1.2,0,0.0031,5.7,62,idle_pure
m_1947,60413,691190,8.0,103,42.78,12.93,0.302,24,33,41,51,66,78,89.22,4.8,48.72,39.37,8.51,0.73,0.0,15.5,81.7,2.9,1.61,14,0.0108,5.6,66,stable_mid
m_1948,60215,691190,8.0,103,39.46,12.76,0.323,22,30,38,47,63,75,91.23,4.01,48.84,43.03,7.88,0.47,0.0,24.0,73.9,2.1,1.66,37,0.0053,6.3,45,stable_mid
m_1949,62274,691190,8.0,100,43.48,13.6,0.313,25,33,42,52,67,88,90.7,4.28,43.74,35.68,9.84,0.71,0.0,14.8,81.1,4.0,1.6,9,0.0649,5.5,47,stable_mid
m_1950,60808,685200,7.93,101,40.79,12.89,0.316,23,31,39,49,64,77,90.12,5.03,32.9,26.17,8.28,0.85,0.0,20.7,76.6,2.7,1.64,68,0.0161,5.6,50,stable_mid
m_1951,61668,691190,8.0,101,41.72,13.49,0.323,24,32,39,50,67,80,91.78,3.26,43.7,36.6,8.98,0.76,0.0,18.9,77.5,3.6,1.72,238,-0.0112,5.6,52,stable_mid
m_1952,61104,691190,8.0,102,41.35,12.19,0.295,24,32,40,49,63,76,91.55,3.52,42.61,33.95,6.92,0.54,0.0,17.4,80.6,2.1,1.58,20,0.0115,6.5,56,stable_mid
m_1953,61462,691190,8.0,101,44.8,14.26,0.318,27,34,42,52,74,88,90.29,3.76,44.06,36.69,8.29,0.49,0.0,10.3,83.5,6.2,1.76,72,0.0607,6.8,59,stable_mid
m_1954,61051,691190,8.0,102,47.24,11.47,0.243,30,39,46,55,68,76,91.02,3.75,49.04,43.41,9.17,0.39,0.0,4.3,91.9,3.7,1.48,4,0.0282,5.4,54,stable_mid
m_1955,62909,691170,8.0,99,38.2,12.74,0.334,21,29,36,46,62,76,90.18,4.32,45.26,33.9,6.98,0.44,0.0,27.5,70.7,1.7,1.72,5,0.01,5.7,46,stable_mid
m_1956,62745,691180,8.0,99,46.57,10.47,0.225,31,39,46,54,65,73,91.6,3.17,44.67,36.18,7.63,0.67,0.0,3.3,94.8,1.9,1.41,18,0.0226,5.6,54,stable_mid
m_1957,60089,691190,8.0,104,43.18,12.98,0.3,25,33,42,52,67,78,89.01,4.76,54.31,47.11,8.03,0.71,0.0,15.0,81.6,3.4,1.6,38,0.018,6.7,90,stable_mid
m_1958,61175,686990,7.95,101,40.15,16.2,0.403,22,29,36,47,81,91,91.44,3.46,43.77,35.39,8.33,0.42,0.0,27.2,66.2,6.6,2.25,0,0.0517,5.6,55,stable_mid
m_1959,60187,689990,7.99,103,46.0,12.76,0.277,27,36,45,55,68,77,90.14,5.24,50.27,41.96,6.8,0.93,0.0,9.2,87.2,3.6,1.51,51,0.0034,7.0,45,stable_mid
m_1960,62790,689940,7.99,99,39.45,12.2,0.309,23,30,38,47,62,74,91.15,3.58,47.63,36.83,7.42,0.45,0.0,22.4,76.0,1.6,1.63,23,0.0175,6.0,49,stable_mid
m_1961,61802,691190,8.0,101,38.81,15.9,0.41,19,28,36,47,70,88,87.77,7.93,34.69,23.11,5.88,0.25,0.0,31.1,63.8,5.0,1.94,11,0.1147,5.6,55,stable_mid
m_1962,61766,679840,7.87,99,39.24,12.55,0.32,23,30,37,46,63,79,90.32,4.26,46.4,35.94,9.05,0.55,0.0,23.4,74.1,2.4,1.7,75,0.0071,5.7,45,stable_mid
m_1963,61486,691190,8.0,101,44.13,11.85,0.268,26,35,43,52,64,74,91.54,3.43,46.92,40.26,8.33,0.87,0.0,10.8,87.3,1.9,1.49,33,0.005,5.6,58,stable_mid
m_1964,62962,691190,8.0,99,45.68,10.65,0.233,30,38,45,53,64,73,91.68,3.24,44.93,38.61,7.4,0.47,0.0,4.6,93.8,1.6,1.42,24,0.0037,5.5,45,stable_mid
m_1965,58031,669070,7.74,104,9.56,21.49,2.249,0,0,0,0,55,90,18.19,33.16,0.26,0.2,0.69,0.0,79.8,4.1,12.3,3.8,55.0,0,0.2783,5.6,89,bursty
m_1966,58648,664800,7.69,102,7.79,16.32,2.096,0,0,0,0,45,58,17.75,32.51,0.27,0.21,0.66,0.0,80.1,3.6,16.1,0.2,45.0,0,0.2166,5.7,48,bursty
m_1967,60296,690320,7.99,103,31.81,13.21,0.415,14,22,30,40,56,71,89.53,4.66,35.42,25.29,5.04,0.44,0.0,48.9,49.9,1.1,1.87,13,-0.005,5.7,90,stable_mid
m_1968,62647,689410,7.98,99,35.67,14.76,0.414,18,25,33,43,62,95,91.4,3.29,34.89,24.33,6.05,0.51,0.0,39.3,57.6,3.1,1.88,43,0.0349,5.5,42,stable_mid
m_1969,60387,691190,8.0,103,31.77,13.58,0.428,15,22,29,39,58,74,88.98,4.79,41.03,30.21,7.61,0.55,0.0,51.4,46.9,1.6,2.0,47,0.0011,5.6,65,stable_mid
m_1970,60762,691190,8.0,102,42.87,12.18,0.284,25,34,41,51,64,73,92.06,3.18,42.53,36.74,9.86,0.8,0.0,13.3,84.9,1.8,1.56,18,0.0189,5.6,63,stable_mid
m_1971,60342,691190,8.0,103,6.08,0.39,0.064,6,6,6,6,7,7,33.02,1.69,0.35,0.45,1.0,1.0,0.0,100.0,0.0,0.0,1.17,0,0.0025,6.0,73,stable_low
m_1972,62352,691190,8.0,100,44.42,11.86,0.267,28,35,43,52,65,76,91.24,3.75,45.09,39.3,11.13,0.81,0.0,8.6,88.9,2.5,1.51,7,0.0042,6.5,37,stable_mid
m_1973,59759,676500,7.83,102,41.59,15.82,0.381,22,30,39,49,75,90,88.16,5.99,48.43,40.0,8.07,0.62,0.0,22.7,71.1,6.2,1.92,97,0.0387,5.6,54,stable_mid
m_1974,61433,691190,8.0,101,30.5,13.1,0.429,13,21,29,38,54,70,90.79,3.78,39.96,28.45,5.15,0.7,0.0,52.6,46.4,1.0,1.86,21,0.0041,5.5,58,stable_mid
m_1975,61108,658430,7.62,97,0.02,0.15,6.586,0,0,0,0,0,1,3.86,0.34,0.01,0.02,0.0,0.98,100.0,0.0,0.0,0.0,0.0,0,0.0005,5.6,36,bursty
m_1976,63701,691190,8.0,98,34.67,13.13,0.379,16,25,33,43,58,73,89.74,4.49,40.06,30.84,5.28,0.69,0.0,38.7,59.8,1.5,1.76,5,-0.0021,5.6,28,stable_mid
m_1977,61061,691190,8.0,102,39.3,12.82,0.326,22,30,37,47,63,77,91.88,3.3,41.73,34.19,7.88,0.56,0.0,24.5,73.2,2.2,1.7,15,0.0173,5.6,54,stable_mid
m_1978,62871,689930,7.99,99,44.57,11.99,0.269,26,36,44,53,65,76,91.7,3.68,44.78,38.47,7.88,0.71,0.0,10.5,87.2,2.3,1.48,18,0.0258,6.2,36,stable_mid
