model,horizon_min,F1,F1_macro,precision,recall,AUC_ROC
Baseline,5,0.3366165313456675,0.6440745641013386,0.20399274047186933,0.9621457104812631,0.9692721944339833
Baseline,15,0.16924861803043745,0.5206827614543263,0.09296223409239997,0.9435038995624881,0.9239616612571085
Baseline,30,0.17689483912761822,0.5395894637074683,0.09977346357148077,0.7791516073806354,0.8727470270124048
Baseline,60,0.08439726218745634,0.4508578100463772,0.04554294242684637,0.5746623549552977,0.7156956597450538
XGBoost,5,0.04461371055495103,0.5162637135779624,0.4785992217898833,0.02339737492866654,0.86677220441384
XGBoost,15,0.03661503008577647,0.5095890434691607,0.055990602975724356,0.027201826136579798,0.6685564847993584
XGBoost,30,0.0031540766440624505,0.4942280466720483,0.00922509225092251,0.0019022256039566293,0.6350350434750021
XGBoost,60,0.04066265060240964,0.5128152784822507,0.09761388286334056,0.025680045653414495,0.6848706172229139
LSTM,5,0.29789964994165696,0.6193895203773625,0.17592943527547117,0.9712763933802548,0.9839002932582133
LSTM,15,0.1156938619459184,0.44974954022032215,0.06159862812588672,0.949781244055545,0.9440279537298067
LSTM,30,0.11491031390134529,0.45496204307006216,0.061387633939614876,0.8968993722655507,0.8712517168753399
LSTM,60,0.1904986752708481,0.5559163628904084,0.11048563777994158,0.690698116796652,0.8527863203421326
