model,horizon_min,MAE,RMSE,R2
Baseline,5,4.570458122871647,6.752412275735105,0.8912243026377729
Baseline,15,5.378884369843166,7.896330258238203,0.8511526939724496
Baseline,30,5.978897953375484,8.869143564812784,0.8119983117069182
Baseline,60,6.778455724129592,10.03729749888543,0.7593324082524231
XGBoost,5,4.618092954990132,6.847005035273854,0.8881553359758361
XGBoost,15,5.463974561139912,8.182664025643838,0.8401620834244725
XGBoost,30,5.9546178945217125,8.958145950581038,0.8082061631238883
XGBoost,60,6.622218927335917,10.043553466243123,0.759032311976488
LSTM,5,4.831602292596508,7.593925653074263,0.8624227397165616
LSTM,15,5.540034344915804,8.55934575331363,0.8251073692138498
LSTM,30,6.068628172580183,9.478719493119423,0.7852675288296469
LSTM,60,6.5333119059750135,10.276397590854021,0.7477298784761961
