model,horizon_min,profile,n_windows,MAE,RMSE,R2,F1,precision,recall,AUC_ROC
Baseline,5,bursty,48423,4.4322229077309405,7.730420818055338,0.8791852408074955,0.23454545454545456,0.1915841584158416,0.30234375,0.8847708534405956
Baseline,5,erratic,6720,3.4755819380638147,6.335238597989811,0.7590586504724088,0.04310344827586207,0.022123893805309734,0.8333333333333334,0.9818290140005957
Baseline,5,idle_pure,2224,0.3012212832197011,0.3851449793145966,0.5681535787204144,0.0,0.0,0.0,
Baseline,5,stable_high,33558,5.087294693932117,6.7940068783258845,0.6551266587202147,0.16345514950166112,0.11181818181818182,0.3037037037037037,0.7429003725372165
Baseline,5,stable_low,22363,0.7326065422101262,1.1510750040845255,0.9062909627550837,0.0,0.0,0.0,
Baseline,5,stable_mid,102595,5.715316360209083,7.588303112597824,0.71496025744451,0.19306483655409065,0.12851647030536187,0.3878809869375907,0.8100991962080719
Baseline,15,bursty,48173,4.937394960277152,8.960802124017102,0.8378171765390245,0.1380994671403197,0.09646401985111662,0.24296875,0.6965242180336084
Baseline,15,erratic,6690,4.220739782551479,7.439419581960784,0.6679045162283499,0.014251781472684086,0.007228915662650603,0.5,0.9362657091561939
Baseline,15,idle_pure,2214,0.6396410400628397,0.7062962464995302,-0.4497399616922655,0.0,0.0,0.0,
Baseline,15,stable_high,33408,5.523203194141388,7.32098010081133,0.6009272379130488,0.12616997379258704,0.08165737824085292,0.2773662551440329,0.5093390314766943
Baseline,15,stable_low,22263,0.9777343235680696,1.3164906115073225,0.877438639492839,0.0,0.0,0.0,
Baseline,15,stable_mid,102135,6.234816793873253,8.289188871499192,0.6604957232306796,0.11690708962876871,0.07202426080363912,0.3102322206095791,0.5566316152041477
Baseline,30,bursty,47798,5.552426986236227,10.273511523774696,0.7871024574505769,0.13791113675706868,0.10933211344922232,0.18671875,0.7131981840362871
Baseline,30,erratic,6645,5.038555650194397,8.517091171540516,0.5651971914927543,0.0,0.0,0.0,0.8926796204247628
Baseline,30,idle_pure,2199,1.0734376890001214,1.1270005983807765,-2.6813594100033824,0.0,0.0,0.0,
Baseline,30,stable_high,33183,5.952018473156465,7.866227797033982,0.5410513285369902,0.11066210755362138,0.0682123012071278,0.29300411522633746,0.5687762222098641
Baseline,30,stable_low,22113,1.308734133453483,1.6030173449341836,0.8182241893057447,0.0,0.0,0.0,
Baseline,30,stable_mid,101445,6.684451475791625,8.920818491347108,0.6075377897561666,0.09339530861528483,0.054871078369109615,0.3134978229317852,0.5893030084494809
Baseline,60,bursty,47048,6.575804893049821,12.051629785794352,0.7076606846043281,0.10299704516673702,0.07056101792943899,0.190625,0.6706035996083509
Baseline,60,erratic,6555,6.32492224142626,9.881068566839481,0.41018954654650275,0.0121580547112462,0.006134969325153374,0.6666666666666666,0.895225734208785
Baseline,60,idle_pure,2169,2.0216580894807894,2.0741333101301276,-11.343887724050731,0.0,0.0,0.0,
Baseline,60,stable_high,32733,6.75449818081559,8.889512523461173,0.4168317494478656,0.10020876826722339,0.05954411536672352,0.3160493827160494,0.587605775992659
Baseline,60,stable_low,21813,2.062392641522722,2.336009875349555,0.6135193499535337,0.0,0.0,0.0,
Baseline,60,stable_mid,100065,7.504458485942001,10.000534629301173,0.5079901775332565,0.07146047342563644,0.03946719289590528,0.37735849056603776,0.5724766734807547
XGBoost,5,bursty,48423,4.313617605273591,7.2021652608203,0.8951327485565744,0.05433186490455213,0.45121951219512196,0.02890625,0.8924375122632204
XGBoost,5,erratic,6720,2.7979334217097076,5.187001459720098,0.8384830418047783,0.0,0.0,0.0,0.9851057491808162
XGBoost,5,idle_pure,2224,0.18733063951241885,0.2718866547475346,0.7847928848816786,0.0,0.0,0.0,
XGBoost,5,stable_high,33558,5.045618708607295,6.828833418599848,0.6515819083327397,0.14793741109530584,0.5445026178010471,0.08559670781893004,0.942626558510126
XGBoost,5,stable_low,22363,0.5416345732564849,1.0632344397560534,0.9200474534623682,0.0,0.0,0.0,
XGBoost,5,stable_mid,102595,5.4860726282885794,7.310685214762213,0.7354350880636964,0.10901883052527254,0.6088560885608856,0.059869375907111756,0.9340804642499098
XGBoost,15,bursty,48173,4.999259887877848,8.707497099272262,0.8468567852721288,0.0,0.0,0.0,0.8266165292527669
XGBoost,15,erratic,6690,3.6979619984491348,6.861700991106621,0.7174804923538658,0.0,0.0,0.0,0.9595052862557352
XGBoost,15,idle_pure,2214,0.23824263308214086,0.34233489279676493,0.6594203865285347,0.0,0.0,0.0,
XGBoost,15,stable_high,33408,5.98231543817511,8.147907651203816,0.5056826771009526,0.01765650080256822,0.3548387096774194,0.00905349794238683,0.683838612770023
XGBoost,15,stable_low,22263,0.7980444290800428,1.4436023628202432,0.8526286000549859,0.0,0.0,0.0,
XGBoost,15,stable_mid,102135,6.401548423567269,8.582731819726655,0.6360244054900209,0.002148997134670487,0.08333333333333333,0.0010885341074020319,0.735718242433553
XGBoost,30,bursty,47798,5.800821993916652,10.197828992413173,0.7902276354296333,0.0,0.0,0.0,0.6384739257518595
XGBoost,30,erratic,6645,4.454345769501881,8.187890590402166,0.5981594034183442,0.0,0.0,0.0,0.9090475473213837
XGBoost,30,idle_pure,2199,0.2950111012287496,0.409361099149233,0.5142944495910144,0.0,0.0,0.0,
XGBoost,30,stable_high,33183,6.705500958090366,9.291918716614726,0.3596139198329513,0.04245283018867924,0.47368421052631576,0.022222222222222223,0.7619589239445207
XGBoost,30,stable_low,22113,1.0630177948457957,2.1349137726409695,0.6775812239320584,0.0,0.0,0.0,
XGBoost,30,stable_mid,101445,7.022675300186197,9.47572997340362,0.5571936992596846,0.006983240223463687,0.09259259259259259,0.00362844702467344,0.7321667283044428
XGBoost,60,bursty,47048,7.10029492385719,11.750464917473462,0.7220889841155054,0.0,0.0,0.0,0.4314742116489687
XGBoost,60,erratic,6555,5.357873278078825,9.588656554017598,0.44458172375606997,0.0,0.0,0.0,0.9010281467908587
XGBoost,60,idle_pure,2169,0.3806317368098919,0.5046172772791987,0.26936097957786187,0.0,0.0,0.0,
XGBoost,60,stable_high,32733,7.192221634169385,9.80998911187215,0.28980921943366744,0.0471841704718417,0.31313131313131315,0.02551440329218107,0.7912823086004549
XGBoost,60,stable_low,21813,0.9481936211665352,1.485683227574589,0.8436741326073562,0.0,0.0,0.0,
XGBoost,60,stable_mid,100065,7.780875613224451,10.367090216263708,0.47126130750491957,0.019314019314019316,0.11740890688259109,0.010522496371552975,0.6704875496415508
LSTM,5,bursty,48423,4.398828677023138,7.372053253255747,0.8901270847092079,0.17878375474536207,0.09841495150224745,0.975,0.9824353894003351
LSTM,5,erratic,6720,2.7957726420036386,5.3130175256506815,0.8305397340651813,0.040268456375838924,0.02054794520547945,1.0,0.9905669744811836
LSTM,5,idle_pure,2224,0.4124920869902741,0.4706246615117438,0.35519231388072736,0.0,0.0,0.0,
LSTM,5,stable_high,33558,4.906515397916953,6.64373092352933,0.6702143684133892,0.19011406844106463,0.1051801209571391,0.9876543209876543,0.974798701520953
LSTM,5,stable_low,22363,0.6529563888264424,1.1147531048336885,0.9121115893492208,0.0,0.0,0.0,
LSTM,5,stable_mid,102595,5.415391002534931,7.170867911003173,0.7454579590728133,0.26371567999211315,0.15258684615823398,0.9706095791001451,0.9832494594235761
LSTM,15,bursty,48173,5.128087032958996,9.083700025367616,0.8333379765482926,0.051766323579964815,0.026570900712017106,1.0,0.9268256489508029
LSTM,15,erratic,6690,3.7509390905477185,7.014240691070644,0.7047797175323203,0.0017921146953405018,0.0008968609865470852,1.0,0.9801765409934171
LSTM,15,idle_pure,2214,0.28184731995187157,0.3625275941335387,0.6180570909508805,0.0,0.0,0.0,
LSTM,15,stable_high,33408,5.528758025089443,7.342640945471257,0.598562242784476,0.07018455939693267,0.03636853448275862,1.0,0.7585211569266074
LSTM,15,stable_low,22263,0.7328163595451893,1.1502545384225458,0.9064366093997168,0.0,0.0,0.0,
LSTM,15,stable_mid,102135,6.220791580078623,8.223507200143748,0.6658547183543243,0.05254978978177346,0.026983893865961717,1.0,0.9495829715742308
LSTM,30,bursty,47798,6.303130717584342,11.293180495764439,0.7427440889674378,0.15339587242026267,0.08484848484848485,0.7984375,0.8937452807246657
LSTM,30,erratic,6645,4.436422941539411,8.260760547261418,0.5909750357401624,0.0,0.0,0.0,0.9347291258723704
LSTM,30,idle_pure,2199,0.311227112479945,0.4194635424886649,0.4900256103905829,0.0,0.0,0.0,
LSTM,30,stable_high,33183,6.274021555637863,8.399447561025253,0.4767219408569767,0.15900833511434068,0.08703790360318203,0.9185185185185185,0.8681261250962896
LSTM,30,stable_low,22113,0.7364975488240331,1.211619024424764,0.896153511706039,0.0,0.0,0.0,
LSTM,30,stable_mid,101445,6.815519055366469,9.178824200527124,0.5845081175234009,0.24418930271632597,0.14438042254453937,0.7910014513788098,0.8959556318164226
LSTM,60,bursty,47048,7.723458353654905,13.39718437592381,0.6387376272891248,0.0,0.0,0.0,0.8519614294512542
LSTM,60,erratic,6555,5.538148742736886,9.861523785025316,0.41252053243499776,0.0,0.0,0.0,0.9555911844047438
LSTM,60,idle_pure,2169,0.4975807081999016,0.6641273516965959,-0.26555599069767055,0.0,0.0,0.0,
LSTM,60,stable_high,32733,6.965382113937598,9.31453422148363,0.3597342586094081,0.00187207488299532,0.001507537688442211,0.0024691358024691358,0.6785397566274103
LSTM,60,stable_low,21813,1.0648764582440597,1.5503426921194539,0.8297708937194259,0.0,0.0,0.0,
LSTM,60,stable_mid,100065,7.424620605831483,9.961153283653989,0.511857542423571,0.0,0.0,0.0,0.8700741228013328
