machine_id,n_points,duration_s,duration_days,avg_interval_s,cpu_mean,cpu_std,cpu_cv,cpu_p5,cpu_p25,cpu_p50,cpu_p75,cpu_p95,cpu_p99,mem_mean,mem_std,net_in_mean,net_out_mean,disk_mean,mkpi_mean,pct_idle,pct_low,pct_mid,pct_high,burstiness,spike_count,trend_per_hour,max_gap_hours,n_long_gaps,profile,quality
m_769,63765,691180,8.0,98,53.79,9.57,0.178,38,47,54,61,69,74,89.82,4.71,69.29,67.73,21.39,0.2,0.0,0.0,95.2,4.8,1.28,0,-0.0014,5.4,18,stable_high,21.125950823845038
m_473,62472,691070,8.0,100,53.7,9.35,0.174,39,47,54,60,69,75,90.12,4.3,54.0,49.54,11.37,0.94,0.0,0.1,94.9,5.0,1.28,0,0.0029,7.0,18,stable_high,21.08497948477122
m_545,63525,691180,8.0,98,50.61,11.66,0.23,34,42,49,58,73,81,85.94,6.24,42.0,34.09,8.15,0.8,0.0,1.1,92.3,6.6,1.49,0,0.0437,6.3,20,stable_high,20.118409099796775
m_3868,63047,691190,8.0,99,51.18,12.07,0.236,34,42,50,59,73,82,90.89,3.56,46.71,40.08,8.98,0.76,0.0,1.5,91.3,7.2,1.46,11,0.0529,5.4,25,stable_high,17.60330324006697
m_2317,63583,691190,8.0,98,50.3,11.59,0.23,34,42,49,58,72,81,91.09,3.66,47.92,38.33,7.78,0.67,0.0,1.4,92.5,6.1,1.47,0,0.0509,5.8,27,stable_high,16.620234290703088
m_3625,63152,689720,7.98,98,51.84,10.17,0.196,36,44,52,59,69,76,90.34,4.21,50.72,44.39,9.2,0.81,0.0,0.6,95.2,4.2,1.33,4,0.0241,5.6,27,stable_high,16.586631265177015
m_3285,63080,683860,7.92,98,52.15,9.22,0.177,38,45,52,59,68,73,90.53,4.01,51.67,45.24,10.77,0.86,0.0,0.1,96.6,3.3,1.31,0,-0.008,6.7,27,stable_high,16.52434978767309
m_3716,62082,687990,7.96,100,52.22,9.86,0.189,37,45,52,60,68,76,91.23,3.52,48.82,40.4,8.69,0.0,0.0,0.2,96.4,3.4,1.31,0,-0.0001,5.4,31,stable_high,14.532454956863532
m_392,63635,691070,8.0,98,55.06,8.48,0.154,41,49,56,61,68,73,90.66,3.85,50.13,45.35,13.27,0.77,0.0,0.1,96.7,3.2,1.21,0,-0.0063,5.4,36,stable_high,12.12186925385026
m_88,63108,691190,8.0,99,56.96,9.16,0.161,43,50,57,64,72,76,86.71,6.57,64.12,44.5,5.64,0.27,0.0,0.0,89.5,10.5,1.26,0,0.0086,5.6,36,stable_high,12.105237338206713
m_3918,63045,691190,8.0,99,52.2,10.53,0.202,35,44,52,60,69,76,90.62,4.29,46.9,40.59,59.46,0.54,0.0,0.6,94.7,4.7,1.33,2,0.0138,5.9,36,stable_high,12.10323979533526
m_627,62905,691070,8.0,99,50.09,10.52,0.21,34,42,50,57,68,77,90.15,4.21,50.85,45.53,9.46,0.81,0.0,1.2,95.4,3.4,1.36,0,0.0267,5.7,36,stable_high,12.098793655292791
